group,indicator,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10
pi_meyer,CPU 2013 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.0736,34.0736,34.0736,34.0736,34.0736,34.0736,34.0736,34.0736,34.0736,34.0736,34.0736,34.0736,34.0736,34.0736,34.0736,34.0736,34.0736,34.0736
pi_meyer,CPU 2018 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0491667,0.0491667,0.0491667,0.0491667,0.0491667,0.0491667,0.0491667,0.0491667,0.0491667,0.0491667,0.0491667,0.0491667,0.0491667,0.0491667,0.0491667,0.0491667,0.0491667,0.0491667
pi_mjkyoung,CPU 2018 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76917,236.93917
pi_mjkyoung,CPU 2013 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0255556,0.025833378,0.148055378
pi_mkann,CPU 2013 Usage,0,0,0.695556,30.254956,30.254956,207.625956,207.625956,207.625956,207.625956,207.625956,207.625956,207.625956,221.092656,221.092656,221.092656,221.1193227,221.1193227,221.1193227,250.1510227,251.7401927,269.3473927,286.8420927,288.1348727,288.1348727,288.1348727,288.1348727,288.1348727,288.1348727,288.1348727,288.1348727,288.1348727,288.1348727,288.1348727,288.1348727
pi_mkann,CPU 2018 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0888889,0.0888889,0.0888889,0.0888889,0.0888889,0.0888889,0.0888889,0.0888889,0.0888889,0.0888889,0.0888889,0.0888889,0.0888889,0.0888889,0.0888889,0.0888889
pi_mlyu,CPU 2018 Usage,0,0,0,0,0,0,0,73.2,73.2,73.2,73.2,1187.19,1187.19,1187.19,1187.19,1187.19,1187.19,1207.94,2325.12,2332.24667,2341.83889,3147.10989,9301.57989,9654.56989,9663.826,10057.536,10059.37378,10061.3285,10062.79989,10508.51989,11758.29989,11758.29989,11885.21989,11885.21989
pi_mlyu,CPU 2013 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9875,3.9875,3.9875,3.99638889,3.99638889,3.99638889,3.99638889,3.99638889,3.99638889,3.99638889,3.99638889,3.99638889,369.3873889,369.3873889,369.3873889,369.3873889
pi_motteler,CPU 2013 Usage,0,0.102778,0.102778,0.102778,0.102778,0.102778,0.102778,0.102778,0.102778,0.102778,0.102778,0.102778,0.102778,0.102778,0.102778,0.102778,0.102778,0.102778,0.102778,0.102778,0.102778,0.102778,0.102778,0.102778,0.102778,0.102778,0.102778,0.102778,0.102778,0.102778,0.102778,0.102778,0.102778,0.102778
pi_nagaraj,CPU 2018 Usage,0.03,0.07,0.0966667,0.0966667,1.1702767,1.1702767,1.1702767,1.2069434,2.5425034,12.0852834,12.0852834,12.0852834,12.0852834,12.0852834,12.0852834,12.0852834,12.0852834,12.0852834,12.0852834,12.0852834,12.9836164,13.9241724,14.0947284,14.0947284,21.5036184,74.7178184,74.7178184,74.7178184,10696.81782,10894.62782,10894.62782,10894.62865,10902.59476,11059.35576
